CREATE VIEW
id,filename,ref_count,sources
1004,caroline-vanity-chair.webp,2,products.seo_og_image_id; products_rels
417,caroline-wall-shelf.webp,2,products.seo_og_image_id; products_rels
418,caroline-wardrobe-2-doors-mdf.webp,3,product_variants.image_id; products.seo_og_image_id; products_rels
419,caroline-wardrobe-3-doors-mdf.webp,2,product_variants.image_id; products_rels
427,celine-console-vanity-mirror-3-pieces-picture.webp,3,designs_design_details.image_id; product_variants.image_id; products_rels
1386,celine-console-vanity-mirror-3-pieces.webp,1,products.collection_tile_image_id
420,celine-detail-picture-v2.webp,1,designs_design_details.image_id
421,celine-detail-picture-v3.webp,2,products.seo_og_image_id; products_rels
422,celine-detail-picture.webp,1,designs_design_details.image_id
423,celine-double-bed-160-picture.webp,4,product_variants.image_id; products.seo_og_image_id; products_rels
1387,celine-double-bed-160.webp,1,products.collection_tile_image_id
424,celine-file-5-drawers-picture.webp,4,categories.mosaic_tile_image_id; product_variants.image_id; products.seo_og_image_id; products_rels
1388,celine-file-5-drawers.webp,1,products.collection_tile_image_id
425,celine-nightstand-picture-v2.webp,2,products.seo_og_image_id; products_rels
426,celine-nightstand-picture.webp,1,products_rels
1389,celine-nightstand.webp,1,products.collection_tile_image_id
428,celine-vanity-5-drawers-picture.webp,4,categories.mosaic_tile_image_id; product_variants.image_id; products.seo_og_image_id; products_rels
1390,celine-vanity-5-drawers.webp,1,products.collection_tile_image_id
429,celine-vanity-chair-picture.webp,2,products.seo_og_image_id; products_rels
1391,celine-vanity-chair.webp,1,products.collection_tile_image_id
1378,changing-top-mosaic-tile.jpg,1,categories.mosaic_tile_image_id
258,consol 6 kesho-1.webp,0,""
280,consol 6 kesho-2.webp,0,""
147,consol 6 kesho.webp,0,""
60,console 2 kesho-1.webp,0,""
41,console 2 kesho.webp,0,""
61,console 4 kesho-1.webp,0,""
42,console 4 kesho.webp,0,""
3,deraver 3 kesho.webp,0,""
251,deraver 4 kesho.webp,0,""
179,deraver 6 kesho-1.webp,0,""
92,deraver 6 kesho.webp,0,""
32,deraver-1.webp,0,""
18,deraver.webp,0,""
1036,detail-headboard.jpg,1,designs_design_details.image_id
1037,detail-metal.jpg,1,designs_design_details.image_id
1038,detail-pegboard.jpg,1,designs_design_details.image_id
1039,detail-personalize.jpg,1,designs_design_details.image_id
450,elegance-bookcase.webp,2,products.seo_og_image_id; products_rels
451,elegance-nightstand-v2.webp,2,products.seo_og_image_id; products_rels
452,elegance-nightstand.webp,0,""
453,elegance-single-bed-100.webp,4,product_variants.image_id; products.seo_og_image_id; products_rels
454,elegance-standing-mirror.webp,2,products.seo_og_image_id; products_rels
455,elegance-study-desk-v2.webp,2,products.seo_og_image_id; products_rels
456,elegance-study-desk.webp,1,products_rels
457,elegance-vanity-4-drawers.webp,3,product_variants.image_id; products.seo_og_image_id; products_rels
1005,elegance-wall-mirror.webp,2,products.seo_og_image_id; products_rels
458,elegance-wardrobe-2-doors-mdf.webp,3,product_variants.image_id; products.seo_og_image_id; products_rels
459,elegance-wardrobe-3-doors-mdf.webp,2,product_variants.image_id; products_rels
460,elizabeth-bookcase-cream.webp,3,product_variants.image_id; products.seo_og_image_id; products_rels
477,elizabeth-bookcase-gray.webp,2,product_variants.image_id; products_rels
